address,city,price(USD),bds,ba,sqft,state,url
28 S Crosstimber Trl,Edmond,315000,4,3,2823,OK,https://www.zillow.com/homedetails/28-S-Crosstimber-Trl-Edmond-OK-73034/21938835_zpid/
8340 Belcaro Bnd,EDMOND,307000,4,3,2507,OK,https://www.zillow.com/homedetails/8340-Belcaro-Bnd-Edmond-OK-73034/69624224_zpid/
19416 Hawthorne Branch Dr,Edmond,150000,3,2,1299,OK,https://www.zillow.com/homedetails/19416-Hawthorne-Branch-Dr-Edmond-OK-73012/89351980_zpid/
415 Aspen Ave,Tuttle,108800,3,2,1514,OK,https://www.zillow.com/homedetails/415-Aspen-Ave-Tuttle-OK-73089/78478694_zpid/
8333 S Sandusky Ave,TULSA,200000,4,3,2486,OK,https://www.zillow.com/homedetails/8333-S-Sandusky-Ave-Tulsa-OK-74137/22219194_zpid/
521 W College St,BROKEN ARROW,99900,4,2,1755,OK,https://www.zillow.com/homedetails/521-W-College-St-Broken-Arrow-OK-74012/22243993_zpid/
1027 E Queen St,TULSA,59900,2,2,872,OK,https://www.zillow.com/homedetails/1027-E-Queen-St-Tulsa-OK-74106/22104398_zpid/
10833 NW 32nd Ter,Yukon,269900,4,3,2252,OK,https://www.zillow.com/homedetails/10833-NW-32nd-Ter-Yukon-OK-73099/123681872_zpid/
9713 Berkley Cir,Oklahoma City,189000,4,3,2808,OK,https://www.zillow.com/homedetails/9713-Berkley-Cir-Oklahoma-City-OK-73162/21976594_zpid/
9437 Prairie Dog Dr,EDMOND,157000,3,2,1344,OK,https://www.zillow.com/homedetails/9437-Prairie-Dog-Dr-Edmond-OK-73034/55104163_zpid/
5105 E 25th Ct,TULSA,165000,3,2,2107,OK,https://www.zillow.com/homedetails/5105-E-25th-Ct-Tulsa-OK-74114/22123980_zpid/
5101 Broadway,Norman,330000,4,2,2587,OK,https://www.zillow.com/homedetails/5101-Broadway-Norman-OK-73069/2085545578_zpid/
4805 NW 75th St,Oklahoma City,249900,4,3,2475,OK,https://www.zillow.com/homedetails/4805-NW-75th-St-Oklahoma-City-OK-73132/21954564_zpid/
6731 S Marion Ave,TULSA,319000,3,3,2653,OK,https://www.zillow.com/homedetails/6731-S-Marion-Ave-Tulsa-OK-74136/22229875_zpid/
8800 Lakeaire Dr,Oklahoma City,229500,5,3,2618,OK,https://www.zillow.com/homedetails/8800-Lakeaire-Dr-Oklahoma-City-OK-73132/21966018_zpid/
4867 S 69th East Ave,Tulsa,145000,3,2,1850,OK,https://www.zillow.com/homedetails/4867-S-69th-East-Ave-Tulsa-OK-74145/22153190_zpid/
13900 SE 119th St,Oklahoma City,209900,3,2,2059,OK,https://www.zillow.com/homedetails/13900-SE-119th-St-Oklahoma-City-OK-73165/21764223_zpid/
713 NW 143rd St,Edmond,225000,3,2,2144,OK,https://www.zillow.com/homedetails/713-NW-143rd-St-Edmond-OK-73013/21937533_zpid/
9300 N Yale Ave,SPERRY,189500,4,3.5,7099,OK,https://www.zillow.com/homedetails/9300-N-Yale-Ave-Sperry-OK-74073/81439965_zpid/
13200 W Wilshire Blvd,Yukon,950000,4,4,3943,OK,https://www.zillow.com/homedetails/13200-W-Wilshire-Blvd-Yukon-OK-73099/206587350_zpid/
4750 E Indian Hills Rd,Norman,249900,3,2,2206,OK,https://www.zillow.com/homedetails/4750-E-Indian-Hills-Rd-Norman-OK-73026/21760997_zpid/
2401 Horse Trail Rd,Edmond,225000,4,3,2449,OK,https://www.zillow.com/homedetails/2401-Horse-Trail-Rd-Edmond-OK-73012/21957983_zpid/
7301 S Drexel Ave,Oklahoma City,129900,4,2,1191,OK,https://www.zillow.com/homedetails/7301-S-Drexel-Ave-Oklahoma-City-OK-73159/21966556_zpid/
12850 Fox Hole Rd,EDMOND,145000,3,2,1954,OK,https://www.zillow.com/homedetails/12850-Fox-Hole-Rd-Edmond-OK-73034/59897074_zpid/
460 Falcon Cir,Sapulpa,189900,4,3,2484,OK,https://www.zillow.com/homedetails/460-Falcon-Cir-Sapulpa-OK-74066/21777949_zpid/
