address,city,price(USD),bds,ba,sqft,state,url
380 Talmadge Rd,INDEPENDENCE,149500,4,3,2440,OR,https://www.zillow.com/homedetails/380-Talmadge-Rd-Independence-OR-97351/48519311_zpid/
9912 NW Wind Ridge Dr,PORTLAND,8650000,4,6,11399,OR,https://www.zillow.com/homedetails/9912-NW-Wind-Ridge-Dr-Portland-OR-97229/53931221_zpid/
1704 SE Ellis St,PORTLAND,364900,2,3,1766,OR,https://www.zillow.com/homedetails/1704-SE-Ellis-St-Portland-OR-97202/53912774_zpid/
685 SE 24th Ave,HILLSBORO,300000,3,2,1392,OR,https://www.zillow.com/homedetails/685-SE-24th-Ave-Hillsboro-OR-97123/48593746_zpid/
16400 Jordan Rd,Sisters,24000000,8,9,14666,OR,https://www.zillow.com/homedetails/16400-Jordan-Rd-Sisters-OR-97759/133619597_zpid/
2424 SW Montgomery Dr,PORTLAND,5900000,7,8,14335,OR,https://www.zillow.com/homedetails/2424-SW-Montgomery-Dr-Portland-OR-97201/53956393_zpid/
728 SE 141st Ave,Portland,289900,4,2,1545,OR,https://www.zillow.com/homedetails/728-SE-141st-Ave-Portland-OR-97233/53930655_zpid/
72406 E Hwy 26,Rhododendron,99950,2,1,1053,OR,https://www.zillow.com/homedetails/72406-E-Hwy-26-Rhododendron-OR-97049/2086426550_zpid/
525 NW 57th St,NEWPORT,199000,3,2,2336,OR,https://www.zillow.com/homedetails/525-NW-57th-St-Newport-OR-97365/60368704_zpid/
61961 Ballantrae Ct,BEND,6950000,7,10,14821,OR,https://www.zillow.com/homedetails/61961-Ballantrae-Ct-Bend-OR-97702/89801046_zpid/
3352 S Tenmile Lk,Lakeside,150000,1,1,970,OR,https://www.zillow.com/homedetails/3352-S-Tenmile-Lk-Lakeside-OR-97449/2089095769_zpid/
1831 N Jantzen Ave,Portland,30000,1,1,1100,OR,https://www.zillow.com/homedetails/1831-N-Jantzen-Ave-Portland-OR-97217/2087201588_zpid/
5120 SE 45th Ave,Portland,299900,2,1,1264,OR,https://www.zillow.com/homedetails/5120-SE-45th-Ave-Portland-OR-97206/53902647_zpid/
1510 SW Buddington St,Portland,4198000,4,7,7981,OR,https://www.zillow.com/homedetails/1510-SW-Buddington-St-Portland-OR-97219/58472820_zpid/
6356 NE Rodney Ave,PORTLAND,399900,3,2,2302,OR,https://www.zillow.com/homedetails/6356-NE-Rodney-Ave-Portland-OR-97211/53933972_zpid/
24600 NW Saint Helens Rd SLIP M-48,Portland,50000,3,2,1050,OR,https://www.zillow.com/homedetails/24600-NW-Saint-Helens-Rd-SLIP-M-48-Portland-OR-97231/2085904215_zpid/
17884 SW Woodberry Ct,BEAVERTON,399900,3,2,1590,OR,https://www.zillow.com/homedetails/17884-SW-Woodberry-Ct-Beaverton-OR-97007/48558147_zpid/
2440 Greentree Rd,LAKE OSWEGO,509900,3,2,1850,OR,https://www.zillow.com/homedetails/2440-Greentree-Rd-Lake-Oswego-OR-97034/48234746_zpid/
7935 SW 10th Ave,PORTLAND,489000,4,3,2152,OR,https://www.zillow.com/homedetails/7935-SW-10th-Ave-Portland-OR-97219/53835192_zpid/
2788 Midway Ave,GRANTS PASS,285000,4,2,2161,OR,https://www.zillow.com/homedetails/2788-Midway-Ave-Grants-Pass-OR-97527/60780604_zpid/
972 Judson St SE,SALEM,245000,2,2,1331,OR,https://www.zillow.com/homedetails/972-Judson-St-SE-Salem-OR-97302/53046399_zpid/
360 Monterey Ave,Lincoln City,229900,3,2,1395,OR,https://www.zillow.com/homedetails/360-Monterey-Ave-Lincoln-City-OR-97367/60365832_zpid/
1837 7th St,Astoria,80000,2,1,1283,OR,https://www.zillow.com/homedetails/1837-7th-St-Astoria-OR-97103/86302033_zpid/
10317 SW 59th Pl,PORTLAND,499000,3,3,2536,OR,https://www.zillow.com/homedetails/10317-SW-59th-Pl-Portland-OR-97219/53953842_zpid/
5724 SE Bush St,Portland,319000,2,1,1239,OR,https://www.zillow.com/homedetails/5724-SE-Bush-St-Portland-OR-97206/54009218_zpid/
603 NE 79th Ave,Portland,449000,4,3,2442,OR,https://www.zillow.com/homedetails/603-NE-79th-Ave-Portland-OR-97213/53920416_zpid/
