address,city,price(USD),bds,ba,sqft,state,url
770 Godfrey Rd,VILLANOVA,14650000,10,14,19000,PA,https://www.zillow.com/homedetails/770-Godfrey-Rd-Villanova-PA-19085/54670939_zpid/
5532 Morris St,Philadelphia,150000,4,2,2062,PA,https://www.zillow.com/homedetails/5532-Morris-St-Philadelphia-PA-19144/10234079_zpid/
A1 Ashbourne Rd,Elkins Park,11000000,55,20,70000,PA,https://www.zillow.com/homedetails/A1-Ashbourne-Rd-Elkins-Park-PA-19027/2104144500_zpid/
37 Comanche Ct,JIM THORPE,38500,3,2,2418,PA,https://www.zillow.com/homedetails/37-Comanche-Ct-Jim-Thorpe-PA-18229/78573142_zpid/
17595 Susquehanna Trl S,NEW FREEDOM,1950000,7,12,16828,PA,https://www.zillow.com/homedetails/17595-Susquehanna-Trl-S-New-Freedom-PA-17349/83090473_zpid/
6604 N 12th St,Philadelphia,169999,6,4,3615,PA,https://www.zillow.com/homedetails/6604-N-12th-St-Philadelphia-PA-19126/10546233_zpid/
258 Peekskill St,PITTSBURGH,199900,4,3,2161,PA,https://www.zillow.com/homedetails/258-Peekskill-St-Pittsburgh-PA-15212/11505881_zpid/
1354 S West End Blvd,QUAKERTOWN,199000,3,2,1439,PA,https://www.zillow.com/homedetails/1354-S-West-End-Blvd-Quakertown-PA-18951/9090577_zpid/
3053 Powder Mill Cir,BETHLEHEM,299900,4,3,2360,PA,https://www.zillow.com/homedetails/3053-Powder-Mill-Cir-Bethlehem-PA-18017/10135477_zpid/
2425 Golf Rd,Philadelphia,165000,4,3,1640,PA,https://www.zillow.com/homedetails/2425-Golf-Rd-Philadelphia-PA-19131/10486670_zpid/
146 Harvest Dr,VERONA,28600,2,2,1444,PA,https://www.zillow.com/homedetails/146-Harvest-Dr-Verona-PA-15147/11415117_zpid/
2918 Alton Ave,Allentown,175000,3,2,1718,PA,https://www.zillow.com/homedetails/2918-Alton-Ave-Allentown-PA-18103/2100515785_zpid/
222 Garden Ave,HORSHAM,272500,4,2,1350,PA,https://www.zillow.com/homedetails/222-Garden-Ave-Horsham-PA-19044/9936376_zpid/
