address,city,price(USD),bds,ba,sqft,state,url
758 Parker Dr,Pawleys Island,95000,6,7,3268,SC,https://www.zillow.com/homedetails/758-Parker-Dr-Pawleys-Island-SC-29585/10974248_zpid/
32 Legare St,CHARLESTON,14999000,9,14.5,17142,SC,https://www.zillow.com/homedetails/32-Legare-St-Charleston-SC-29401/10904569_zpid/
1930 Willow St,COLUMBIA,32000,4,2,1872,SC,https://www.zillow.com/homedetails/1930-Willow-St-Columbia-SC-29203/11690782_zpid/
745 Tall Oaks Ct,Myrtle Beach,73000,3,3,1500,SC,https://www.zillow.com/homedetails/745-Tall-Oaks-Ct-Myrtle-Beach-SC-29588/2122645256_zpid/
1421 Lee Dobbins Rd,ANDERSON,149900,4,2,2420,SC,https://www.zillow.com/homedetails/1421-Lee-Dobbins-Rd-Anderson-SC-29626/10779985_zpid/
520 Snow Mill Dr,WOODRUFF,165000,3,2,1855,SC,https://www.zillow.com/homedetails/520-Snow-Mill-Dr-Woodruff-SC-29388/11799420_zpid/
57 Olde Springs Rd,COLUMBIA,254950,4,4,3574,SC,https://www.zillow.com/homedetails/57-Olde-Springs-Rd-Columbia-SC-29223/11729400_zpid/
22 Plantation Homes Dr # 22,Daufuskie Island,199000,3,4,2504,SC,https://www.zillow.com/homedetails/22-Plantation-Homes-Dr-22-Daufuskie-Island-SC-29915/2104002169_zpid/
1926 Maybank Hwy,CHARLESTON,5999000,6,8,7000,SC,https://www.zillow.com/homedetails/1926-Maybank-Hwy-Charleston-SC-29412/10869062_zpid/
405 Plantation Dr,LEXINGTON,219000,5,3,2592,SC,https://www.zillow.com/homedetails/405-Plantation-Dr-Lexington-SC-29072/11206140_zpid/
1225 Parker Dr,PAWLEYS ISLAND,150000,6,6,3640,SC,https://www.zillow.com/homedetails/1225-Parker-Dr-Pawleys-Island-SC-29585/10973991_zpid/
5080 Rodgwin Rd,Sumter,29900,3,2,1311,SC,https://www.zillow.com/homedetails/5080-Rodgwin-Rd-Sumter-SC-29153/2120579675_zpid/
110 Springhouse Way,GREENVILLE,274900,4,3,2221,SC,https://www.zillow.com/homedetails/110-Springhouse-Way-Greenville-SC-29607/67596804_zpid/
15 Ashley Hall Dr,BLUFFTON,495000,3,4,4018,SC,https://www.zillow.com/homedetails/15-Ashley-Hall-Dr-Bluffton-SC-29910/68795435_zpid/
172 Ingleoak Ln,GREENVILLE,215000,4,4,2400,SC,https://www.zillow.com/homedetails/172-Ingleoak-Ln-Greenville-SC-29615/11015978_zpid/
405 N Silver Ridge Dr,GREER,424900,4,3,2886,SC,https://www.zillow.com/homedetails/405-N-Silver-Ridge-Dr-Greer-SC-29651/11088068_zpid/
29 Legare St,CHARLESTON,13850000,5,6,7800,SC,https://www.zillow.com/homedetails/29-Legare-St-Charleston-SC-29401/10904030_zpid/
99 Swanson Dr,SUMMERVILLE,145000,7,5,3702,SC,https://www.zillow.com/homedetails/99-Swanson-Dr-Summerville-SC-29483/10948658_zpid/
6453 Old Bucksville Rd,Conway,249990,3,2,3000,SC,https://www.zillow.com/homedetails/6453-Old-Bucksville-Rd-Conway-SC-29527/2086102883_zpid/
195 Offshore Dr,Murrells Inlet,72900,4,2,2400,SC,https://www.zillow.com/homedetails/195-Offshore-Dr-Murrells-Inlet-SC-29576/69596453_zpid/
24 Oyster Catcher Rd,HILTON HEAD ISLAND,8995000,7,9,6700,SC,https://www.zillow.com/homedetails/24-Oyster-Catcher-Rd-Hilton-Head-Island-SC-29928/68792586_zpid/
151 Shoreham Rd,SPARTANBURG,121695,4,3,2740,SC,https://www.zillow.com/homedetails/151-Shoreham-Rd-Spartanburg-SC-29307/11826380_zpid/
106 Bonneau Ct,SUMMERVILLE,300000,3,2,2584,SC,https://www.zillow.com/homedetails/106-Bonneau-Ct-Summerville-SC-29485/10960588_zpid/
256 Letha Ln,Lexington,289000,4,3,3339,SC,https://www.zillow.com/homedetails/256-Letha-Ln-Lexington-SC-29072/111149759_zpid/
9 Angelica Ave,Summerville,273090,4,3,2433,SC,https://www.zillow.com/homedetails/9-Angelica-Ave-Summerville-SC-29483/2085740103_zpid/
104 Devonwood Ct,COLUMBIA,165000,4,3,2250,SC,https://www.zillow.com/homedetails/104-Devonwood-Ct-Columbia-SC-29212/11192464_zpid/
300 Woodhaven Dr APT 1104,HILTON HEAD ISLAND,65000,2,2,1167,SC,https://www.zillow.com/homedetails/300-Woodhaven-Dr-APT-1104-Hilton-Head-Island-SC-29928/68814420_zpid/
219 Barefoot Dr,Lexington,289900,3,2,1992,SC,https://www.zillow.com/homedetails/219-Barefoot-Dr-Lexington-SC-29073/121566541_zpid/
113 Gayle St,PIEDMONT,115000,3,2,1150,SC,https://www.zillow.com/homedetails/113-Gayle-St-Piedmont-SC-29673/11092660_zpid/
1845 Gippy Ln,CHARLESTON,79900,3,2,1614,SC,https://www.zillow.com/homedetails/1845-Gippy-Ln-Charleston-SC-29407/10876743_zpid/
5 Sandshifter Ct,AIKEN,193700,3,3,1815,SC,https://www.zillow.com/homedetails/5-Sandshifter-Ct-Aiken-SC-29803/52156892_zpid/
205 Watson Rd,EASLEY,269900,3,2,2400,SC,https://www.zillow.com/homedetails/205-Watson-Rd-Easley-SC-29642/10796858_zpid/
