address,city,price(USD),bds,ba,sqft,state,url
1358 Page Rd,NASHVILLE,17999999,6,11,20533,TN,https://www.zillow.com/homedetails/1358-Page-Rd-Nashville-TN-37205/41173570_zpid/
3720 Diana Ridge Rd,Pulaski,199900,3,2,2400,TN,https://www.zillow.com/homedetails/3720-Diana-Ridge-Rd-Pulaski-TN-38478/63006747_zpid/
2423 Hidden River Ln,FRANKLIN,17900000,6,13,22743,TN,https://www.zillow.com/homedetails/2423-Hidden-River-Ln-Franklin-TN-37069/52023495_zpid/
1001 11th Ave N,NASHVILLE,185000,3,2,1289,TN,https://www.zillow.com/homedetails/1001-11th-Ave-N-Nashville-TN-37208/41099142_zpid/
5628 Lyons View Pike,Knoxville,14995000,8,13.5,40768,TN,https://www.zillow.com/homedetails/5628-Lyons-View-Pike-Knoxville-TN-37919/186228165_zpid/
2925 Beasley Rd,CHAPEL HILL,1,4,3,3520,TN,https://www.zillow.com/homedetails/2925-Beasley-Rd-Chapel-Hill-TN-37034/41920264_zpid/
337 Bournemouth Ln,Hermitage,699000,6,6,5288,TN,https://www.zillow.com/homedetails/337-Bournemouth-Ln-Hermitage-TN-37076/108755884_zpid/
6113 Kettle Dr,KNOXVILLE,33000,3,2,1408,TN,https://www.zillow.com/homedetails/6113-Kettle-Dr-Knoxville-TN-37918/52596075_zpid/
4107 Forest Trail Dr,Sevierville,125000,2,2,1655,TN,https://www.zillow.com/homedetails/4107-Forest-Trail-Dr-Sevierville-TN-37876/42498137_zpid/
3540 Trimble Rd,NASHVILLE,3249000,5,7,8050,TN,https://www.zillow.com/homedetails/3540-Trimble-Rd-Nashville-TN-37215/41158343_zpid/
2317 Benay Rd,Nashville,180000,3,2,960,TN,https://www.zillow.com/homedetails/2317-Benay-Rd-Nashville-TN-37214/41067088_zpid/
8473 Stone Wood Cv E,CORDOVA,99999,3,2,2391,TN,https://www.zillow.com/homedetails/8473-Stone-Wood-Cv-E-Cordova-TN-38018/42288459_zpid/
333 Snead Dr,Crossville,89900,2,2,1977,TN,https://www.zillow.com/homedetails/333-Snead-Dr-Crossville-TN-38558/41002894_zpid/
7201 Stagecoach Trl,KNOXVILLE,240000,3,4,2771,TN,https://www.zillow.com/homedetails/7201-Stagecoach-Trl-Knoxville-TN-37909/41664933_zpid/
241 Dickerson Rd,Hillsboro,1,4,2,2536,TN,https://www.zillow.com/homedetails/241-Dickerson-Rd-Hillsboro-TN-37342/81078491_zpid/
102 Doris St,Camden,89900,4,4,2214,TN,https://www.zillow.com/homedetails/102-Doris-St-Camden-TN-38320/81033747_zpid/
1599 Springfield Hwy,GOODLETTSVILLE,269900,4,3,1926,TN,https://www.zillow.com/homedetails/1599-Springfield-Hwy-Goodlettsville-TN-37072/41047913_zpid/
1429 Tutwiler Ave,Memphis,135000,3,2,1100,TN,https://www.zillow.com/homedetails/1429-Tutwiler-Ave-Memphis-TN-38107/42148957_zpid/
240 Solness Ave,NASHVILLE,200000,3,2,1522,TN,https://www.zillow.com/homedetails/240-Solness-Ave-Nashville-TN-37218/71260463_zpid/
2281 Old Hickory Blvd,NASHVILLE,7800000,6,8,10898,TN,https://www.zillow.com/homedetails/2281-Old-Hickory-Blvd-Nashville-TN-37215/41191220_zpid/
3451 Cosby Hwy,Cosby,139000,5,2,2416,TN,https://www.zillow.com/homedetails/3451-Cosby-Hwy-Cosby-TN-37722/40963892_zpid/
7520 Parsonage Ln,Knoxville,8400000,4,4.5,6921,TN,https://www.zillow.com/homedetails/7520-Parsonage-Ln-Knoxville-TN-37920/186227366_zpid/
1205 Lovell View Dr,KNOXVILLE,189900,4,3,2468,TN,https://www.zillow.com/homedetails/1205-Lovell-View-Dr-Knoxville-TN-37932/41674551_zpid/
3103A Priest Woods Dr,Nashville,221500,3,3,1710,TN,https://www.zillow.com/homedetails/3103A-Priest-Woods-Dr-Nashville-TN-37214/2088622126_zpid/
1820 Richmond Ln,CHATTANOOGA,219900,3,3,2322,TN,https://www.zillow.com/homedetails/1820-Richmond-Ln-Chattanooga-TN-37421/55237914_zpid/
3112 Greggwood Dr,NASHVILLE,249900,3,3,1500,TN,https://www.zillow.com/homedetails/3112-Greggwood-Dr-Nashville-TN-37207/41072938_zpid/
1109 Galewood Rd,KNOXVILLE,245000,3,2,1500,TN,https://www.zillow.com/homedetails/1109-Galewood-Rd-Knoxville-TN-37919/41692453_zpid/
504 Haynes St,NASHVILLE,199999,3,2,1304,TN,https://www.zillow.com/homedetails/504-Haynes-St-Nashville-TN-37207/41083055_zpid/
332 Bibee Ln,Caryville,64900,3,2,1440,TN,https://www.zillow.com/homedetails/332-Bibee-Ln-Caryville-TN-37714/81030850_zpid/
510 S 12th St,NASHVILLE,725000,3,3,2909,TN,https://www.zillow.com/homedetails/510-S-12th-St-Nashville-TN-37206/41105366_zpid/
11717 Autumn Leaves Ln,KNOXVILLE,199900,3,2,1484,TN,https://www.zillow.com/homedetails/11717-Autumn-Leaves-Ln-Knoxville-TN-37934/41707192_zpid/
1682 Rayner St,Memphis,119000,3,3,4100,TN,https://www.zillow.com/homedetails/1682-Rayner-St-Memphis-TN-38106/2087607992_zpid/
916 Glenhurst Way,Clarksville,199900,4,3,2876,TN,https://www.zillow.com/homedetails/916-Glenhurst-Way-Clarksville-TN-37040/70546566_zpid/
4840 Mapleleaf Dr NW,Cleveland,85000,4,3,2460,TN,https://www.zillow.com/homedetails/4840-Mapleleaf-Dr-NW-Cleveland-TN-37312/81022303_zpid/
91 Nixon Hollow Ln,Pleasant Shade,259900,3,2,1814,TN,https://www.zillow.com/homedetails/91-Nixon-Hollow-Ln-Pleasant-Shade-TN-37145/42370299_zpid/
381 Carson Hollow Ln,Cumberland City,225000,3,1,1577,TN,https://www.zillow.com/homedetails/381-Carson-Hollow-Ln-Cumberland-City-TN-37050/66605331_zpid/
4048 Alexis Cir,CHATTANOOGA,161900,3,3,1538,TN,https://www.zillow.com/homedetails/4048-Alexis-Cir-Chattanooga-TN-37406/59805731_zpid/
240 S Crest Rd,CHATTANOOGA,2595000,7,15,19000,TN,https://www.zillow.com/homedetails/240-S-Crest-Rd-Chattanooga-TN-37404/41430679_zpid/
3603 Kimberlin Heights Rd,Kimberlin Heights,304400,4,4,2016,TN,https://www.zillow.com/homedetails/3603-Kimberlin-Heights-Rd-Kimberlin-Heights-TN-37920/41672212_zpid/
4578 Stewarts Ferry Pike,Mount Juliet,199900,3,2,1578,TN,https://www.zillow.com/homedetails/4578-Stewarts-Ferry-Pike-Mount-Juliet-TN-37122/42681037_zpid/
480 Nursery Rd,Dandridge,90000,3,2,2079,TN,https://www.zillow.com/homedetails/480-Nursery-Rd-Dandridge-TN-37725/41569372_zpid/
3425 Burwood Rd,KNOXVILLE,187500,4,3,2340,TN,https://www.zillow.com/homedetails/3425-Burwood-Rd-Knoxville-TN-37921/41634795_zpid/
