address,city,price(USD),bds,ba,sqft,state,url
5619 Walnut Hill Ln,Dallas,29500000,10,17,27092,TX,https://www.zillow.com/homedetails/5619-Walnut-Hill-Ln-Dallas-TX-75229/26757825_zpid/
100 Carnarvon Dr,HOUSTON,29999999,8,8,26401,TX,https://www.zillow.com/homedetails/100-Carnarvon-Dr-Houston-TX-77024/84024352_zpid/
1210 Hacienda Del Sol,Weslaco,150000,8,6,5408,TX,https://www.zillow.com/homedetails/1210-Hacienda-Del-Sol-Weslaco-TX-78596/52819522_zpid/
10210 Strait Ln,DALLAS,23000000,6,11,11387,TX,https://www.zillow.com/homedetails/10210-Strait-Ln-Dallas-TX-75229/26758058_zpid/
6005 Rayburn Dr,Fort Worth,305000,5,4,3797,TX,https://www.zillow.com/homedetails/6005-Rayburn-Dr-Fort-Worth-TX-76133/29109285_zpid/
1000 Kirby Dr,HOUSTON,20000000,9,11,23870,TX,https://www.zillow.com/homedetails/1000-Kirby-Dr-Houston-TX-77019/27792466_zpid/
2816 Birmingham Ave,Dallas,300000,3,3,2037,TX,https://www.zillow.com/homedetails/2816-Birmingham-Ave-Dallas-TX-75215/96515154_zpid/
11203 Loblolly Ln,Euless,128500,3,2,1856,TX,https://www.zillow.com/homedetails/11203-Loblolly-Ln-Euless-TX-76040/2087614433_zpid/
5131 Pine Lake Dr,SAN ANTONIO,173900,4,3,2113,TX,https://www.zillow.com/homedetails/5131-Pine-Lake-Dr-San-Antonio-TX-78244/26189886_zpid/
1808 Point De Vue Dr,Flower Mound,12000000,11,13,19337,TX,https://www.zillow.com/homedetails/1808-Point-De-Vue-Dr-Flower-Mound-TX-75022/2133120005_zpid/
10 Davenport Ln,SAN ANTONIO,9500000,11,9,8675,TX,https://www.zillow.com/homedetails/10-Davenport-Ln-San-Antonio-TX-78257/26477110_zpid/
15714 Bellforest Ct,HOUSTON,275000,4,4,3863,TX,https://www.zillow.com/homedetails/15714-Bellforest-Ct-Houston-TX-77044/80591989_zpid/
7654 Eagle Ledge,SAN ANTONIO,327000,4,3,2792,TX,https://www.zillow.com/homedetails/7654-Eagle-Ledge-San-Antonio-TX-78249/80041789_zpid/
2904 Harbinger Ln,DALLAS,242500,2,2,1298,TX,https://www.zillow.com/homedetails/2904-Harbinger-Ln-Dallas-TX-75287/55172764_zpid/
3121 Park Ln APT 1111,Dallas,90000,3,2,1193,TX,https://www.zillow.com/homedetails/3121-Park-Ln-APT-1111-Dallas-TX-75220/2087109911_zpid/
5139 Seneca Dr,DALLAS,8995000,6,9,16000,TX,https://www.zillow.com/homedetails/5139-Seneca-Dr-Dallas-TX-75209/26759508_zpid/
4601 Misty Ridge Dr,Fort Worth,190000,3,3,1696,TX,https://www.zillow.com/homedetails/4601-Misty-Ridge-Dr-Fort-Worth-TX-76137/29220760_zpid/
204 Ridgecrest Dr,Euless,169000,3,2,1222,TX,https://www.zillow.com/homedetails/204-Ridgecrest-Dr-Euless-TX-76040/29060215_zpid/
507 W Vega Ln,Killeen,122000,4,3,2106,TX,https://www.zillow.com/homedetails/507-W-Vega-Ln-Killeen-TX-76542/120887427_zpid/
9553 Bella Terra Dr,Fort Worth,7000000,6,9,24093,TX,https://www.zillow.com/homedetails/9553-Bella-Terra-Dr-Fort-Worth-TX-76126/83788499_zpid/
26631 Lisa Ln,PORTER,129900,2,2,1124,TX,https://www.zillow.com/homedetails/26631-Lisa-Ln-Porter-TX-77365/67662484_zpid/
127 Birnam Wood Ct,AUSTIN,9450000,6,6.2,8975,TX,https://www.zillow.com/homedetails/127-Birnam-Wood-Ct-Austin-TX-78746/29332420_zpid/
