address,city,price(USD),bds,ba,sqft,state,url
4218 W 700 N,Vernal,104000,5,2,3284,UT,https://www.zillow.com/homedetails/4218-W-700-N-Vernal-UT-84078/229096318_zpid/
217 White Pine Canyon Rd,Park City,14000000,6,9,12303,UT,https://www.zillow.com/homedetails/217-White-Pine-Canyon-Rd-Park-City-UT-84060/111975959_zpid/
69 White Pine Canyon Rd LOT 75,Park City,14950000,14,22,33000,UT,https://www.zillow.com/homedetails/69-White-Pine-Canyon-Rd-LOT-75-Park-City-UT-84060/2092293263_zpid/
137 S 500 E,Pleasant Grove,320000,7,4,3523,UT,https://www.zillow.com/homedetails/137-S-500-E-Pleasant-Grove-UT-84062/82711251_zpid/
166 S Dooley Ct,Salt Lake City,339000,3,2,1693,UT,https://www.zillow.com/homedetails/166-S-Dooley-Ct-Salt-Lake-City-UT-84102/12753453_zpid/
2575 E Providence Ct,Holladay,5995000,8,13,24401,UT,https://www.zillow.com/homedetails/2575-E-Providence-Ct-Holladay-UT-84121/97754638_zpid/
322 S Concord St,SALT LAKE CITY,255000,2,2,1009,UT,https://www.zillow.com/homedetails/322-S-Concord-St-Salt-Lake-City-UT-84104/12736065_zpid/
9726 E Lambs Canyon Rd,Slc,230000,1,1,484,UT,https://www.zillow.com/homedetails/9726-E-Lambs-Canyon-Rd-Slc-UT-84109/2089077890_zpid/
652 Oakview Ct,NORTH SALT LAKE,499000,5,4,3632,UT,https://www.zillow.com/homedetails/652-Oakview-Ct-North-Salt-Lake-UT-84054/89665242_zpid/
756 E Parkway Ave,SALT LAKE CITY,299900,2,1,1305,UT,https://www.zillow.com/homedetails/756-E-Parkway-Ave-Salt-Lake-City-UT-84106/12775523_zpid/
1601 E Mayfair S Cir,Salt Lake City,599900,4,2,2556,UT,https://www.zillow.com/homedetails/1601-E-Mayfair-S-Cir-Salt-Lake-City-UT-84105/2085532833_zpid/
1141 N Oak Forest Rd,SALT LAKE CITY,7100000,5,7,12351,UT,https://www.zillow.com/homedetails/1141-N-Oak-Forest-Rd-Salt-Lake-City-UT-84103/12717417_zpid/
300 E Gordon Ln # DK5FZ6,Murray,138900,3,2,1568,UT,https://www.zillow.com/community/cottonwood-coves/2086847402_zpid/
346 W Pierpont Ave # W207,SALT LAKE CITY,235000,1,1,463,UT,https://www.zillow.com/homedetails/346-W-Pierpont-Ave-W207-Salt-Lake-City-UT-84101/61167282_zpid/
8785 Lookout Ln,Park City,8650000,6,8,9415,UT,https://www.zillow.com/homedetails/8785-Lookout-Ln-Park-City-UT-84098/111975396_zpid/
1194 N 1560 West Cir,St George,327900,4,2,1840,UT,https://www.zillow.com/homedetails/1194-N-1560-West-Cir-St-George-UT-84770/68898941_zpid/
3384 Aztec Rd,St George,379000,6,3,3338,UT,https://www.zillow.com/homedetails/3384-Aztec-Rd-St-George-UT-84790/68884347_zpid/
72 White Pine Canyon Rd,Park City,14000000,9,15,17422,UT,https://www.zillow.com/homedetails/72-White-Pine-Canyon-Rd-Park-City-UT-84060/68853725_zpid/
9806 Summit View Dr,Park City,17900000,6,10,13536,UT,https://www.zillow.com/homedetails/9806-Summit-View-Dr-Park-City-UT-84060/2141549934_zpid/
2562 E 2100 S,SALT LAKE CITY,400000,4,2,2018,UT,https://www.zillow.com/homedetails/2562-E-2100-S-Salt-Lake-City-UT-84109/12778838_zpid/
