address,city,price(USD),bds,ba,sqft,state,url
1055 Shillelagh Rd,CHESAPEAKE,180000,4,3,2144,VA,https://www.zillow.com/homedetails/1055-Shillelagh-Rd-Chesapeake-VA-23323/61408560_zpid/
300 River Bend Rd,Great Falls,6981000,6,9.5,16800,VA,https://www.zillow.com/homedetails/300-River-Bend-Rd-Great-Falls-VA-22066/51700842_zpid/
632 Fleet Dr,VIRGINIA BEACH,123000,2,2,1750,VA,https://www.zillow.com/homedetails/632-Fleet-Dr-Virginia-Beach-VA-23454/60756164_zpid/
9784 Hagel Cir,LORTON,154000,3,2,1320,VA,https://www.zillow.com/homedetails/9784-Hagel-Cir-Lorton-VA-22079/51987638_zpid/
4730 Occoquan Overlook,WOODBRIDGE,2175000,5,7,13303,VA,https://www.zillow.com/homedetails/4730-Occoquan-Overlook-Woodbridge-VA-22192/122336012_zpid/
2620 Pea Ridge Rd,CHARLOTTESVILLE,259900,3,1,1356,VA,https://www.zillow.com/homedetails/2620-Pea-Ridge-Rd-Charlottesville-VA-22901/79010174_zpid/
724 Atwell Ave,WINCHESTER,229900,3,2,1864,VA,https://www.zillow.com/homedetails/724-Atwell-Ave-Winchester-VA-22601/75340269_zpid/
7201 Dulany Dr,MCLEAN,10800000,8,12,16000,VA,https://www.zillow.com/homedetails/7201-Dulany-Dr-Mclean-VA-22101/51750956_zpid/
715 Draughon Rd,Chesapeake,240000,5,3,3251,VA,https://www.zillow.com/homedetails/715-Draughon-Rd-Chesapeake-VA-23322/61419887_zpid/
3127 Griffin Ave,RICHMOND,289900,3,3,1595,VA,https://www.zillow.com/homedetails/3127-Griffin-Ave-Richmond-VA-23222/12529799_zpid/
2623 S Walter Reed Dr UNIT C,Arlington,430000,3,2,1576,VA,https://www.zillow.com/homedetails/2623-S-Walter-Reed-Dr-UNIT-C-Arlington-VA-22206/12098493_zpid/
208 Clifford Ave,Alexandria,729900,3,2,1277,VA,https://www.zillow.com/homedetails/208-Clifford-Ave-Alexandria-VA-22305/192125741_zpid/
5820 Shana Pl,BURKE,379900,3,2,1277,VA,https://www.zillow.com/homedetails/5820-Shana-Pl-Burke-VA-22015/51901126_zpid/
26 Hamrick St,Staunton,149900,3,2,1348,VA,https://www.zillow.com/homedetails/26-Hamrick-St-Staunton-VA-24401/234163657_zpid/
5218 King William Rd,RICHMOND,309000,3,3,1901,VA,https://www.zillow.com/homedetails/5218-King-William-Rd-Richmond-VA-23225/12540826_zpid/
717 San Remo Ct,VIRGINIA BEACH,99000,2,2,1406,VA,https://www.zillow.com/homedetails/717-San-Remo-Ct-Virginia-Beach-VA-23454/60756261_zpid/
7105 Fort Hunt Rd,ALEXANDRIA,679000,4,3,2266,VA,https://www.zillow.com/homedetails/7105-Fort-Hunt-Rd-Alexandria-VA-22307/51960449_zpid/
721 N Great Neck Rd,Virginia Beach,170000,3,2,1985,VA,https://www.zillow.com/homedetails/721-N-Great-Neck-Rd-Virginia-Beach-VA-23454/60731923_zpid/
408 E Raymond Ave # B,Alexandria,499999,2,4,1462,VA,https://www.zillow.com/homedetails/408-E-Raymond-Ave-B-Alexandria-VA-22301/2085520309_zpid/
867 N Abingdon St,ARLINGTON,737500,5,3,2179,VA,https://www.zillow.com/homedetails/867-N-Abingdon-St-Arlington-VA-22203/12074951_zpid/
1981 Cobham Wharf Rd,SURRY,299000,5,4,4680,VA,https://www.zillow.com/homedetails/1981-Cobham-Wharf-Rd-Surry-VA-23883/89440489_zpid/
1021 Arlington Blvd APT 1214,Arlington,459000,2,2,1110,VA,https://www.zillow.com/homedetails/1021-Arlington-Blvd-APT-1214-Arlington-VA-22209/2086793941_zpid/
21071 Hawthorne Ct,Sterling,417999,3,3,1590,VA,https://www.zillow.com/homedetails/21071-Hawthorne-Ct-Sterling-VA-20164/12377242_zpid/
7441 Amf Dr,MECHANICSVILLE,199900,5,2,2300,VA,https://www.zillow.com/homedetails/7441-Amf-Dr-Mechanicsville-VA-23111/12281787_zpid/
901 23rd St S,ARLINGTON,750000,5,3,2327,VA,https://www.zillow.com/homedetails/901-23rd-St-S-Arlington-VA-22202/12106578_zpid/
725 Clearwater Ave,ROANOKE,172500,4,--,1500,VA,https://www.zillow.com/homedetails/725-Clearwater-Ave-Roanoke-VA-24019/12563116_zpid/
1730 S Pifer Rd,STAR TANNERY,435000,4,3,8521,VA,https://www.zillow.com/homedetails/1730-S-Pifer-Rd-Star-Tannery-VA-22654/94119325_zpid/
2717 4th Ave,RICHMOND,190000,3,2,2400,VA,https://www.zillow.com/homedetails/2717-4th-Ave-Richmond-VA-23222/12528408_zpid/
38565 Piggott Bottom Rd,Hamilton,460000,4,3,5042,VA,https://www.zillow.com/homedetails/38565-Piggott-Bottom-Rd-Hamilton-VA-20158/68464588_zpid/
3458 Woods Way,POWHATAN,235000,3,2,1538,VA,https://www.zillow.com/homedetails/3458-Woods-Way-Powhatan-VA-23139/108011181_zpid/
14916 Grassy Knoll Ct,WOODBRIDGE,389000,4,2,1700,VA,https://www.zillow.com/homedetails/14916-Grassy-Knoll-Ct-Woodbridge-VA-22193/52000375_zpid/
9023 Pelot Pl,MECHANICSVILLE,289950,4,3,2088,VA,https://www.zillow.com/homedetails/9023-Pelot-Pl-Mechanicsville-VA-23116/12266147_zpid/
3924 Park Ave,RICHMOND,524950,4,2,1997,VA,https://www.zillow.com/homedetails/3924-Park-Ave-Richmond-VA-23221/12553197_zpid/
3635 Dannys Ln,Alexandria,580000,4,3,2464,VA,https://www.zillow.com/homedetails/3635-Dannys-Ln-Alexandria-VA-22311/51852248_zpid/
11810 Henderson Rd,CLIFTON,399000,4,2,2474,VA,https://www.zillow.com/homedetails/11810-Henderson-Rd-Clifton-VA-20124/51961049_zpid/
3075 Creekside Dr,SALEM,284700,3,--,2167,VA,https://www.zillow.com/homedetails/3075-Creekside-Dr-Salem-VA-24153/81356657_zpid/
1207 Nottoway Ave,RICHMOND,327000,4,2,1488,VA,https://www.zillow.com/homedetails/1207-Nottoway-Ave-Richmond-VA-23227/12533603_zpid/
3402 Franklin Manor Ct,FAIRFAX,899990,5,5,6450,VA,https://www.zillow.com/homedetails/3402-Franklin-Manor-Ct-Fairfax-VA-22033/51764636_zpid/
3 Rose Hill Rd,HENRICO,599950,4,4,2695,VA,https://www.zillow.com/homedetails/3-Rose-Hill-Rd-Henrico-VA-23229/12352330_zpid/
900 N Taylor St APT 525,Arlington,175000,2,2,1152,VA,https://www.zillow.com/homedetails/900-N-Taylor-St-APT-525-Arlington-VA-22203/12077233_zpid/
6609 Thackwell Way UNIT 2309,Alexandria,299999,2,2,1668,VA,https://www.zillow.com/homedetails/6609-Thackwell-Way-UNIT-2309-Alexandria-VA-22315/51972442_zpid/
3813 Campbell Rd,CHESAPEAKE,283000,4,4,1800,VA,https://www.zillow.com/homedetails/3813-Campbell-Rd-Chesapeake-VA-23322/61422562_zpid/
4703 Archduke Rd,Glen Allen,269000,3,3,1632,VA,https://www.zillow.com/homedetails/4703-Archduke-Rd-Glen-Allen-VA-23060/12301093_zpid/
1357 Harris Rd,VIRGINIA BEACH,7200000,6,10,15045,VA,https://www.zillow.com/homedetails/1357-Harris-Rd-Virginia-Beach-VA-23452/60706392_zpid/
4219 Hilltop Rd,ROCKINGHAM,193000,3,2,1420,VA,https://www.zillow.com/homedetails/4219-Hilltop-Rd-Rockingham-VA-22801/108051335_zpid/
229 N Henry St,Alexandria,529900,3,2,1208,VA,https://www.zillow.com/homedetails/229-N-Henry-St-Alexandria-VA-22314/192120889_zpid/
1107 Somerville Grove Ter,MIDLOTHIAN,244000,3,3,1640,VA,https://www.zillow.com/homedetails/1107-Somerville-Grove-Ter-Midlothian-VA-23114/12140862_zpid/
13418 Winning Colors Ln,Midlothian,235000,3,3,1740,VA,https://www.zillow.com/homedetails/13418-Winning-Colors-Ln-Midlothian-VA-23112/12137279_zpid/
4601 Forest Hill Ave,Richmond,485000,4,3,2378,VA,https://www.zillow.com/homedetails/4601-Forest-Hill-Ave-Richmond-VA-23225/12541334_zpid/
517 N Armistead St APT 301,Alexandria,259900,3,2,1168,VA,https://www.zillow.com/homedetails/517-N-Armistead-St-APT-301-Alexandria-VA-22312/192146519_zpid/
6 Little Rocky Run Ln,STAFFORD,424995,6,4,4378,VA,https://www.zillow.com/homedetails/6-Little-Rocky-Run-Ln-Stafford-VA-22554/12635052_zpid/
43296 Amanda Kay Ct,Ashburn,649500,4,4,3714,VA,https://www.zillow.com/homedetails/43296-Amanda-Kay-Ct-Ashburn-VA-20147/53448044_zpid/
