address,city,price(USD),bds,ba,sqft,state,url
1700 SW Austin St,SEATTLE,569000,3,3,1980,WA,https://www.zillow.com/homedetails/1700-SW-Austin-St-Seattle-WA-98106/49060422_zpid/
7506 47th Ave NW,TULALIP,48900,3,2,1123,WA,https://www.zillow.com/homedetails/7506-47th-Ave-NW-Tulalip-WA-98271/38475565_zpid/
2310 Perkins Ln W,Seattle,500000,3,3,3220,WA,https://www.zillow.com/homedetails/2310-Perkins-Ln-W-Seattle-WA-98199/2103112291_zpid/
3105 N Park Rd,SPOKANE VALLEY,135000,3,1,1384,WA,https://www.zillow.com/homedetails/3105-N-Park-Rd-Spokane-Valley-WA-99212/23519246_zpid/
(undisclosed Address),Hunts Point,45000000,3,5,9420,WA,https://www.zillow.com/homedetails/(undisclosed-Address)-Hunts-Point-WA-98004/2087938187_zpid/
2494 NW Selmer Ln,Poulsbo,269000,3,2,1296,WA,https://www.zillow.com/homedetails/2494-NW-Selmer-Ln-Poulsbo-WA-98370/89825499_zpid/
1004 Roberson Rd,SEQUIM,575000,3,3,2793,WA,https://www.zillow.com/homedetails/1004-Roberson-Rd-Sequim-WA-98382/114634097_zpid/
6213 61st Loop SE,Lacey,275000,3,3,1729,WA,https://www.zillow.com/homedetails/6213-61st-Loop-SE-Lacey-WA-98513/49395656_zpid/
18884 SE 42nd St,ISSAQUAH,12988000,6,7,10800,WA,https://www.zillow.com/homedetails/18884-SE-42nd-St-Issaquah-WA-98027/48761686_zpid/
213 Carolina St,BELLINGHAM,325000,4,1,1279,WA,https://www.zillow.com/homedetails/213-Carolina-St-Bellingham-WA-98225/23631627_zpid/
733 Holcomb Rd,KELSO,260000,3,3,2838,WA,https://www.zillow.com/homedetails/733-Holcomb-Rd-Kelso-WA-98626/67029843_zpid/
19311 83rd Pl W,EDMONDS,415000,4,2,1920,WA,https://www.zillow.com/homedetails/19311-83rd-Pl-W-Edmonds-WA-98026/38529994_zpid/
14224 168th Ave NE,WOODINVILLE,9995000,5,6,16430,WA,https://www.zillow.com/homedetails/14224-168th-Ave-NE-Woodinville-WA-98072/48798733_zpid/
8013 11th Ave NW,SEATTLE,499950,3,3,1560,WA,https://www.zillow.com/homedetails/8013-11th-Ave-NW-Seattle-WA-98117/49131500_zpid/
5330 Butterworth Rd,MERCER ISLAND,18888000,5,11,14940,WA,https://www.zillow.com/homedetails/5330-Butterworth-Rd-Mercer-Island-WA-98040/49095545_zpid/
18824 SE 164th St,RENTON,360000,4,2.75,2250,WA,https://www.zillow.com/homedetails/18824-SE-164th-St-Renton-WA-98058/48948130_zpid/
20200 10th Pl SW,Normandy Park,9950000,4,9,12033,WA,https://www.zillow.com/homedetails/20200-10th-Pl-SW-Normandy-Park-WA-98166/48679796_zpid/
2517 E Miller St,SEATTLE,825000,3,2,1613,WA,https://www.zillow.com/homedetails/2517-E-Miller-St-Seattle-WA-98112/49006305_zpid/
9809 Oak Ln SW,LAKEWOOD,199000,3,3,1550,WA,https://www.zillow.com/homedetails/9809-Oak-Ln-SW-Lakewood-WA-98499/49235090_zpid/
2617 W Broadway Ave,SPOKANE,139900,3,2,1647,WA,https://www.zillow.com/homedetails/2617-W-Broadway-Ave-Spokane-WA-99201/23482809_zpid/
1115 E 27th St,VANCOUVER,229990,2,2,1079,WA,https://www.zillow.com/homedetails/1115-E-27th-St-Vancouver-WA-98663/23233773_zpid/
4601 SW 320th St UNIT D-12,Federal Way,155000,3,2,1017,WA,https://www.zillow.com/homedetails/4601-SW-320th-St-UNIT-D-12-Federal-Way-WA-98023/48948811_zpid/
2403 Evergreen Point Rd,MEDINA,21500000,4,6,8250,WA,https://www.zillow.com/homedetails/2403-Evergreen-Point-Rd-Medina-WA-98039/49118805_zpid/
4714 N Whitehouse St,SPOKANE,159000,4,2,1826,WA,https://www.zillow.com/homedetails/4714-N-Whitehouse-St-Spokane-WA-99205/23552051_zpid/
13414 SE 255th St,KENT,350000,6,2,2530,WA,https://www.zillow.com/homedetails/13414-SE-255th-St-Kent-WA-98042/48787321_zpid/
4294 Birch Bay Lynden Rd,Blaine,300000,3,2,1344,WA,https://www.zillow.com/homedetails/4294-Birch-Bay-Lynden-Rd-Blaine-WA-98230/23649848_zpid/
1080 W Ewing Pl UNIT A6,Seattle,335000,2,1,510,WA,https://www.zillow.com/homedetails/1080-W-Ewing-Pl-UNIT-A6-Seattle-WA-98119/2087480453_zpid/
613 E Lacrosse Ave,SPOKANE,264900,4,3,2281,WA,https://www.zillow.com/homedetails/613-E-Lacrosse-Ave-Spokane-WA-99207/23508365_zpid/
38025 Allen Rd S,Roy,269900,3,3.5,3357,WA,https://www.zillow.com/homedetails/38025-Allen-Rd-S-Roy-WA-98580/72094744_zpid/
1718 Madrona Dr,SEATTLE,650000,4,2,1460,WA,https://www.zillow.com/homedetails/1718-Madrona-Dr-Seattle-WA-98122/48989653_zpid/
3035 Perkins Ln W,SEATTLE,6850000,5,5,7610,WA,https://www.zillow.com/homedetails/3035-Perkins-Ln-W-Seattle-WA-98199/48726323_zpid/
905 N Proctor St,TACOMA,325000,2,1,1014,WA,https://www.zillow.com/homedetails/905-N-Proctor-St-Tacoma-WA-98406/49320484_zpid/
5817 119th Ave E,PUYALLUP,299950,4,2,1584,WA,https://www.zillow.com/homedetails/5817-119th-Ave-E-Puyallup-WA-98372/49191365_zpid/
15400 SE 155th Pl UNIT 96,RENTON,127300,3,2,1596,WA,https://www.zillow.com/homedetails/15400-SE-155th-Pl-UNIT-96-Renton-WA-98058/48793287_zpid/
111 Raft Island Dr NW,GIG HARBOR,724000,3,2,2761,WA,https://www.zillow.com/homedetails/111-Raft-Island-Dr-NW-Gig-Harbor-WA-98335/49254901_zpid/
1222 N Locust Rd,SPOKANE VALLEY,189000,4,2,1480,WA,https://www.zillow.com/homedetails/1222-N-Locust-Rd-Spokane-Valley-WA-99206/23573363_zpid/
6105 NE 98th Ave,VANCOUVER,344900,3,2,1872,WA,https://www.zillow.com/homedetails/6105-NE-98th-Ave-Vancouver-WA-98662/23265458_zpid/
1975 Harmony Rd,BELLINGHAM,329900,3,2,1296,WA,https://www.zillow.com/homedetails/1975-Harmony-Rd-Bellingham-WA-98226/118256526_zpid/
5525 S Frontenac St,SEATTLE,7850000,6,7,7498,WA,https://www.zillow.com/homedetails/5525-S-Frontenac-St-Seattle-WA-98118/48705212_zpid/
726 99th Ave SE,LAKE STEVENS,297900,3,2,2129,WA,https://www.zillow.com/homedetails/726-99th-Ave-SE-Lake-Stevens-WA-98258/38594452_zpid/
XX 2nd Ave,Seattle,13800000,3,4,5732,WA,https://www.zillow.com/homedetails/XX-2nd-Ave-Seattle-WA-98121/2090430187_zpid/
1022 S 115th St,SEATTLE,199500,2,2,940,WA,https://www.zillow.com/homedetails/1022-S-115th-St-Seattle-WA-98168/48868430_zpid/
