address,city,price(USD),bds,ba,sqft,state,url
N8064 975th St,RIVER FALLS,190000,2,2,2236,WI,https://www.zillow.com/homedetails/N8064-975th-St-River-Falls-WI-54022/79395961_zpid/
3005 W Kilbourn Ave,MILWAUKEE,5000,8,4,4592,WI,https://www.zillow.com/homedetails/3005-W-Kilbourn-Ave-Milwaukee-WI-53208/40469373_zpid/
4117 Barby Ln,Madison,184900,3,2,1607,WI,https://www.zillow.com/homedetails/4117-Barby-Ln-Madison-WI-53704/2085521098_zpid/
590 S Lake Shore Dr,LAKE GENEVA,14500000,13,16,13000,WI,https://www.zillow.com/homedetails/590-S-Lake-Shore-Dr-Lake-Geneva-WI-53147/40769824_zpid/
6226 N Highlands Ave,MADISON,599900,4,3,3106,WI,https://www.zillow.com/homedetails/6226-N-Highlands-Ave-Madison-WI-53705/55388380_zpid/
152 W Foster St,APPLETON,124900,2,2,1152,WI,https://www.zillow.com/homedetails/152-W-Foster-St-Appleton-WI-54915/69769953_zpid/
440 Fairway Dr,BROOKFIELD,339900,3,3,1910,WI,https://www.zillow.com/homedetails/440-Fairway-Dr-Brookfield-WI-53005/40625175_zpid/
303 4th St,FOND DU LAC,50990,5,2,2258,WI,https://www.zillow.com/homedetails/303-4th-St-Fond-Du-Lac-WI-54935/62686753_zpid/
1017 E Park Ridge Ave,APPLETON,189000,4,2,2128,WI,https://www.zillow.com/homedetails/1017-E-Park-Ridge-Ave-Appleton-WI-54911/69766226_zpid/
1539 N Cass St,MILWAUKEE,369900,4,3,3100,WI,https://www.zillow.com/homedetails/1539-N-Cass-St-Milwaukee-WI-53202/50882002_zpid/
5448 S 48th St,GREENFIELD,249900,3,2,2745,WI,https://www.zillow.com/homedetails/5448-S-48th-St-Greenfield-WI-53220/83874805_zpid/
3174 S 40th St,MILWAUKEE,205000,4,2,1900,WI,https://www.zillow.com/homedetails/3174-S-40th-St-Milwaukee-WI-53215/40501639_zpid/
1947 S 12th St,MILWAUKEE,114900,3,2,2124,WI,https://www.zillow.com/homedetails/1947-S-12th-St-Milwaukee-WI-53204/40482931_zpid/
N7293 French Rd,SEYMOUR,164900,5,1,2051,WI,https://www.zillow.com/homedetails/N7293-French-Rd-Seymour-WI-54165/69753744_zpid/
4525 W College Ave,GREENDALE,245000,3,3,2114,WI,https://www.zillow.com/homedetails/4525-W-College-Ave-Greendale-WI-53129/110734658_zpid/
S82W17262 Woods Rd,MUSKEGO,497900,4,3,2600,WI,https://www.zillow.com/homedetails/S82W17262-Woods-Rd-Muskego-WI-53150/40665282_zpid/
