address,city,price(USD),bds,ba,sqft,state,url
49 Rr 1,Valley Bend,150000,4,2,3304,WV,https://www.zillow.com/homedetails/49-Rr-1-Valley-Bend-WV-26293/2128566159_zpid/
26 Eagle Ridge Dr,Vienna,75000,5,5,4432,WV,https://www.zillow.com/homedetails/26-Eagle-Ridge-Dr-Vienna-WV-26105/97841992_zpid/
43 Pattys Pl,Falling waters,279900,5,4,4224,WV,https://www.zillow.com/homedetails/43-Pattys-Pl-Falling-Waters-WV-25419/22321855_zpid/
3401 Vanica Ct,HURRICANE,236000,4,4,2952,WV,https://www.zillow.com/homedetails/3401-Vanica-Ct-Hurricane-WV-25526/22989770_zpid/
230 Quarry Rdg E,CHARLESTON,13000000,8,14,19000,WV,https://www.zillow.com/homedetails/230-Quarry-Rdg-E-Charleston-WV-25304/22594944_zpid/
1274 Braewick Dr,MORGANTOWN,319000,3,4,2733,WV,https://www.zillow.com/homedetails/1274-Braewick-Dr-Morgantown-WV-26505/22890195_zpid/
1104 Edgewood Dr,CHARLESTON,135000,5,4,2271,WV,https://www.zillow.com/homedetails/1104-Edgewood-Dr-Charleston-WV-25302/22606158_zpid/
14 Fox Hill Dr,PARKERSBURG,190000,4,2,2039,WV,https://www.zillow.com/homedetails/14-Fox-Hill-Dr-Parkersburg-WV-26104/23176211_zpid/
27435 Northwestern Pike,Romney,220000,6,3,4981,WV,https://www.zillow.com/homedetails/27435-Northwestern-Pike-Romney-WV-26757/97820435_zpid/
153 Tammy Ln,MARTINSBURG,99900,3,2,1528,WV,https://www.zillow.com/homedetails/153-Tammy-Ln-Martinsburg-WV-25405/22315955_zpid/
120 Race Rd,Flemington,369000,4,5,3567,WV,https://www.zillow.com/homedetails/120-Race-Rd-Flemington-WV-26347/97843594_zpid/
